id,EAP,HPL,MWS
id02310,0.0009244685916251049,2.9681069420191115e-05,0.9990458503389429
id24541,0.9999996645404389,3.262254542833637e-07,9.234085557818501e-09
id00134,0.003192611619989351,0.9968065146250958,8.737549043445984e-07
id27757,0.9209847909528804,0.07901472793737281,4.811097389347319e-07
id04081,0.9531580103564457,0.005981883908771627,0.04086010573478061
id27337,0.9957866189787644,0.004206469288517777,6.911732713556886e-06
id24265,0.9805618964895768,0.016964693324709602,0.002473410185717897
id25917,8.830348766535277e-05,0.00032114838506524385,0.9995905481272593
id04951,0.9999647908647731,3.520829782659087e-05,8.373907750839317e-10
id14549,0.9492495231226487,0.00882141938584902,0.0419290574915018
id22505,0.0071065139359936524,0.02722299737555716,0.965670488688434
id24002,2.9321381518960987e-08,0.9999999674069505,3.271666930100925e-09
id18982,0.03595084357907218,0.15294568077981735,0.8111034756410965
id15181,0.0001377408970990719,0.999856474931731,5.784171156531553e-06
id21888,0.7354464464541522,0.13442087839642325,0.13013267514942273
id12035,4.066859361480159e-05,6.872924965214956e-06,0.9999524584814181
id17991,0.16973846790824842,0.0020595184722762773,0.828202013619474
id10707,0.9999999985952002,1.0179362829892024e-10,1.303020242177889e-09
id07101,0.2907027492477094,0.014029201848596405,0.69526804890368
id00345,0.438122749551978,0.5602408366726159,0.0016364137753998218
id05912,0.9850295811413357,0.0013789270411140556,0.013591491817548035
id13443,0.9993049199526569,5.180217811498616e-05,0.0006432778692404587
id09248,0.4773518147545058,0.15194393794830569,0.37070424729718754
id17542,0.0152112497781311,0.9811392494673793,0.0036495007544832727
id06995,0.002709966186595038,8.187389971850692e-08,0.9972899519395112
id25159,0.4893596770703053,0.005427850322928228,0.5052124726067665
id25729,0.9647032092985142,0.02763279555815723,0.0076639951433209235
id26949,0.9908934631081712,0.006886840966613726,0.0022196959252082887
id27191,0.003431685703481321,2.918197869757124e-09,0.9965683113783075
id07668,0.004277378839128459,1.6950586115290792e-11,0.9957226211439363
id02230,0.003246353307013451,0.0022332617590862455,0.9945203849339092
id15553,0.9999999995335429,2.803465320750186e-12,4.636276891397669e-10
id25688,1.0068858917201674e-07,0.9999974364360927,2.4628753282132025e-06
id17545,0.9933082180352629,0.0014795106105911042,0.005212271354152288
id13929,0.2668920788527051,0.45304562856985453,0.2800622925774474
id12880,0.33593314345595626,0.5410993879497624,0.12296746859427629
id19282,0.799916746971359,0.05894568773556747,0.1411375652930791
id14690,0.0005643963154481064,2.0368459551972226e-05,0.9994152352249991
id17975,0.0004014414540033543,0.9984890825673414,0.0011094759786634044
id08037,0.9999356224881613,5.5857430370880516e-08,6.432165442915312e-05
id15412,0.047005397154031,0.00017073888161395082,0.9528238639643534
id25032,0.21296057534541435,0.0789651782117146,0.7080742464428745
id27165,0.9999948791613156,1.7761169045436998e-06,3.3447217656635444e-06
id03327,0.921855468956842,0.07787795548255981,0.0002665755605996495
id18515,0.9984264218751355,0.00018488753429598203,0.001388690590571698
id21003,0.011905952870487763,0.0030427715250342493,0.9850512756044848
id23855,6.457604926537291e-05,0.9515427525497557,0.048392671400985174
id20724,0.5837216288245864,0.2475546850875523,0.16872368608786076
id13303,0.8682767342555221,0.004236565759563822,0.12748669998491685
id16521,0.00011386616877570817,0.26619755481226615,0.7336885790189519
id20775,0.9999999999471356,5.1637063959917775e-11,1.2062916592300273e-12
id13029,0.9999113132742714,1.379784095721704e-05,7.488888475873097e-05
id14660,0.9108298352543582,0.07042942491185003,0.018740739833786116
id11028,4.119968443611201e-05,2.8791601241209754e-08,0.9999587715239584
id14180,0.998915824333138,0.0006392813609894905,0.0004448943058821964
id25860,0.9999999986389412,1.3551349259284699e-09,5.897303617903479e-12
id11910,0.12220032390870939,9.380025396936872e-05,0.877705875837321
id08065,0.03828260725167812,0.0013922312220131837,0.9603251615263116
id22674,1.2788243795642211e-05,1.832216722329238e-08,0.9999871934340173
id25018,0.16856561271448975,9.378386152487533e-05,0.8313406034239962
id10892,9.562903650563485e-06,0.9999900673700951,3.697262293002163e-07
id10217,0.257232492624177,0.7427572879506464,1.0219425163940158e-05
id12996,0.11977638447878122,0.03409126672847834,0.846132348792743
id18262,0.9981731534981599,5.285425357975474e-05,0.0017739922482799236
id08606,1.0722752815728745e-06,0.9999978872329657,1.0404917717518e-06
id17233,0.9220692519288165,0.014498048991757231,0.06343269907942733
id00101,0.9663658273280366,0.021164627176036833,0.012469545495931952
id12225,0.8772380793599357,0.08002128218918972,0.04274063845087669
id01364,0.021202835349495196,0.9785318232012739,0.00026534144923849617
id24973,0.8563286210277735,0.00017473667397566417,0.1434966422982514
